run_id,task,emergence_generation,total_solutions_found,first_solution
42,drain,0,3,",<."
42,copy,0,2,",<>."
42,increment,0,1,",+."
42,decrement,0,1,",-."
42,add_two,1,1,",++."
42,add_3,2,1,",+++."
42,repeat_2,,0,
42,repeat_3,,0,
42,oscillator,,0,
42,modular_cycle,,0,
42,alternating_step,,0,
42,growing_step,,0,
42,parity_dependent_step,,0,
42,doubling,,0,
42,tripling,,0,
42,double_add_1,,0,
42,every_3rd_double,,0,
42,increment_then_double,,0,
42,double_then_add_two,,0,
42,increment_if_even_else_double,,0,
42,two_state_accumulator,,0,
42,linear_with_aux_counter,,0,
42,alternate_add_and_double,,0,
42,mod3_cycle_then_reset,,0,
42,gated_double_every_4th,,0,
42,double_or_add_two_by_threshold,,0,
42,affine_double_plus_one_multi,,0,
42,every_2_then_every_3,,0,
42,multi_window_sawtooth_5_8,,0,
42,staircase_reset_10,,0,
42,mod2_then_mod3_gate,,0,
42,parity_then_threshold_gate,,0,
